divipola5,departamento,municipio
05480,ANTIOQUIA,Mutatá
05483,ANTIOQUIA,Nariño
05490,ANTIOQUIA,Necoclí
05495,ANTIOQUIA,Nechí
05501,ANTIOQUIA,Olaya
05541,ANTIOQUIA,Peñol
05543,ANTIOQUIA,Peque
05576,ANTIOQUIA,Pueblorrico
05579,ANTIOQUIA,Puerto Berrío
05585,ANTIOQUIA,Puerto Nare
05591,ANTIOQUIA,Puerto Triunfo
05604,ANTIOQUIA,Remedios
05607,ANTIOQUIA,Retiro
05615,ANTIOQUIA,Rionegro
05628,ANTIOQUIA,Sabanalarga
05631,ANTIOQUIA,Sabaneta
05642,ANTIOQUIA,Salgar
05647,ANTIOQUIA,San Andrés de Cuerquía
05649,ANTIOQUIA,San Carlos
05652,ANTIOQUIA,San Francisco
05656,ANTIOQUIA,San Jerónimo
05658,ANTIOQUIA,San José de La Montaña
05659,ANTIOQUIA,San Juan de Urabá
05660,ANTIOQUIA,San Luis
05664,ANTIOQUIA,San Pedro
05665,ANTIOQUIA,San Pedro de Urabá
05667,ANTIOQUIA,San Rafael
05670,ANTIOQUIA,San Roque
05674,ANTIOQUIA,San Vicente
05679,ANTIOQUIA,Santa Bárbara
05686,ANTIOQUIA,Santa Rosa de Osos
05690,ANTIOQUIA,Santo Domingo
05697,ANTIOQUIA,El Santuario
05736,ANTIOQUIA,Segovia
05756,ANTIOQUIA,Sonson
05761,ANTIOQUIA,Sopetrán
05789,ANTIOQUIA,Támesis
05790,ANTIOQUIA,Tarazá
05792,ANTIOQUIA,Tarso
05809,ANTIOQUIA,Titiribí
05819,ANTIOQUIA,Toledo
05837,ANTIOQUIA,Turbo
05842,ANTIOQUIA,Uramita
05847,ANTIOQUIA,Urrao
05854,ANTIOQUIA,Valdivia
05856,ANTIOQUIA,Valparaíso
05858,ANTIOQUIA,Vegachí
05861,ANTIOQUIA,Venecia
05873,ANTIOQUIA,Vigía del Fuerte
05885,ANTIOQUIA,Yalí
05887,ANTIOQUIA,Yarumal
05890,ANTIOQUIA,Yolombó
05893,ANTIOQUIA,Yondó
05895,ANTIOQUIA,Zaragoza
08001,ATLÁNTICO,Barranquilla
08078,ATLÁNTICO,Baranoa
08137,ATLÁNTICO,Campo de La Cruz
08141,ATLÁNTICO,Candelaria
08296,ATLÁNTICO,Galapa
08372,ATLÁNTICO,Juan de Acosta
08421,ATLÁNTICO,Luruaco
08433,ATLÁNTICO,Malambo
08436,ATLÁNTICO,Manatí
08520,ATLÁNTICO,Palmar de Varela
08549,ATLÁNTICO,Piojó
08558,ATLÁNTICO,Polonuevo
08560,ATLÁNTICO,Ponedera
08573,ATLÁNTICO,Puerto Colombia
08606,ATLÁNTICO,Repelón
08634,ATLÁNTICO,Sabanagrande
08638,ATLÁNTICO,Sabanalarga
08675,ATLÁNTICO,Santa Lucía
08685,ATLÁNTICO,Santo Tomás
08758,ATLÁNTICO,Soledad
08770,ATLÁNTICO,Suan
08832,ATLÁNTICO,Tubará
08849,ATLÁNTICO,Usiacurí
11001,BOGOTA,Bogotá D.C.
13001,BOLÍVAR,Cartagena
13006,BOLÍVAR,Achí
13030,BOLÍVAR,Altos del Rosario
13042,BOLÍVAR,Arenal
13052,BOLÍVAR,Arjona
13062,BOLÍVAR,Arroyohondo
13074,BOLÍVAR,Barranco de Loba
13140,BOLÍVAR,Calamar
13160,BOLÍVAR,Cantagallo
13188,BOLÍVAR,Cicuco
13212,BOLÍVAR,Córdoba
13222,BOLÍVAR,Clemencia
13244,BOLÍVAR,El Carmen de Bolívar
13248,BOLÍVAR,El Guamo
13268,BOLÍVAR,El Peñón
13300,BOLÍVAR,Hatillo de Loba
13430,BOLÍVAR,Magangué
13433,BOLÍVAR,Mahates
13440,BOLÍVAR,Margarita
13442,BOLÍVAR,María La Baja
13458,BOLÍVAR,Montecristo
13468,BOLÍVAR,Mompós
13473,BOLÍVAR,Morales
13490,BOLÍVAR,Norosí
13549,BOLÍVAR,Pinillos
13580,BOLÍVAR,Regidor
13600,BOLÍVAR,Río Viejo
13620,BOLÍVAR,San Cristóbal
13647,BOLÍVAR,San Estanislao
13650,BOLÍVAR,San Fernando
13654,BOLÍVAR,San Jacinto
13655,BOLÍVAR,San Jacinto del Cauca
13657,BOLÍVAR,San Juan Nepomuceno
13667,BOLÍVAR,San Martín de Loba
13670,BOLÍVAR,San Pablo
13673,BOLÍVAR,Santa Catalina
13683,BOLÍVAR,Santa Rosa
13688,BOLÍVAR,Santa Rosa del Sur
13744,BOLÍVAR,Simití
13760,BOLÍVAR,Soplaviento
13780,BOLÍVAR,Talaigua Nuevo
13810,BOLÍVAR,Tiquisio
13836,BOLÍVAR,Turbaco
13838,BOLÍVAR,Turbaná
13873,BOLÍVAR,Villanueva
13894,BOLÍVAR,Zambrano
15001,BOYACÁ,Tunja
15022,BOYACÁ,Almeida
15047,BOYACÁ,Aquitania
15051,BOYACÁ,Arcabuco
15087,BOYACÁ,Belén
15090,BOYACÁ,Berbeo
15097,BOYACÁ,Boavita
15104,BOYACÁ,Boyacá
15106,BOYACÁ,Briceño
15109,BOYACÁ,Buenavista
15114,BOYACÁ,Busbanzá
15131,BOYACÁ,Caldas
15135,BOYACÁ,Campohermoso
15162,BOYACÁ,Cerinza
15172,BOYACÁ,Chinavita
15176,BOYACÁ,Chiquinquirá
15180,BOYACÁ,Chiscas
15183,BOYACÁ,Chita
15185,BOYACÁ,Chitaraque
15187,BOYACÁ,Chivatá
15189,BOYACÁ,Ciénega
15204,BOYACÁ,Cómbita
15212,BOYACÁ,Coper
15215,BOYACÁ,Corrales
15218,BOYACÁ,Covarachía
15223,BOYACÁ,Cubará
15224,BOYACÁ,Cucaita
15226,BOYACÁ,Cuítiva
15232,BOYACÁ,Chíquiza
15236,BOYACÁ,Chivor
15238,BOYACÁ,Duitama
15244,BOYACÁ,El Cocuy
15248,BOYACÁ,El Espino
15272,BOYACÁ,Firavitoba
15276,BOYACÁ,Floresta
15293,BOYACÁ,Gachantivá
15296,BOYACÁ,Gameza
15299,BOYACÁ,Garagoa
15317,BOYACÁ,Guacamayas
15322,BOYACÁ,Guateque
15325,BOYACÁ,Guayatá
15332,BOYACÁ,Güicán
15362,BOYACÁ,Iza
15367,BOYACÁ,Jenesano
15368,BOYACÁ,Jericó
15377,BOYACÁ,Labranzagrande
15380,BOYACÁ,La Capilla
15403,BOYACÁ,La Uvita
15407,BOYACÁ,Villa de Leyva
15425,BOYACÁ,Macanal
15442,BOYACÁ,Maripí
15455,BOYACÁ,Miraflores
15464,BOYACÁ,Mongua
15466,BOYACÁ,Monguí
15469,BOYACÁ,Moniquirá
15476,BOYACÁ,Motavita
15480,BOYACÁ,Muzo
15491,BOYACÁ,Nobsa
15494,BOYACÁ,Nuevo Colón
15500,BOYACÁ,Oicatá
15507,BOYACÁ,Otanche
15511,BOYACÁ,Pachavita
15514,BOYACÁ,Páez
15516,BOYACÁ,Paipa
15518,BOYACÁ,Pajarito
15522,BOYACÁ,Panqueba
15531,BOYACÁ,Pauna
15533,BOYACÁ,Paya
15537,BOYACÁ,Paz de Río
15542,BOYACÁ,Pesca
15550,BOYACÁ,Pisba
15572,BOYACÁ,Puerto Boyacá
15580,BOYACÁ,Quípama
15599,BOYACÁ,Ramiriquí
15600,BOYACÁ,Ráquira
15621,BOYACÁ,Rondón
15632,BOYACÁ,Saboyá
15638,BOYACÁ,Sáchica
15646,BOYACÁ,Samacá
15660,BOYACÁ,San Eduardo
15664,BOYACÁ,San José de Pare
15667,BOYACÁ,San Luis de Gaceno
15673,BOYACÁ,San Mateo
15676,BOYACÁ,San Miguel de Sema
15681,BOYACÁ,San Pablo de Borbur
15686,BOYACÁ,Santana
15690,BOYACÁ,Santa María
15693,BOYACÁ,Santa Rosa de Viterbo
15696,BOYACÁ,Santa Sofía
15720,BOYACÁ,Sativanorte
15723,BOYACÁ,Sativasur
15740,BOYACÁ,Siachoque
15753,BOYACÁ,Soatá
15755,BOYACÁ,Socotá
15757,BOYACÁ,Socha
15759,BOYACÁ,Sogamoso
15761,BOYACÁ,Somondoco
15762,BOYACÁ,Sora
15763,BOYACÁ,Sotaquirá
15764,BOYACÁ,Soracá
15774,BOYACÁ,Susacón
15776,BOYACÁ,Sutamarchán
15778,BOYACÁ,Sutatenza
15790,BOYACÁ,Tasco
15798,BOYACÁ,Tenza
15804,BOYACÁ,Tibaná
15806,BOYACÁ,Tibasosa
15808,BOYACÁ,Tinjacá
15810,BOYACÁ,Tipacoque
15814,BOYACÁ,Toca
15816,BOYACÁ,Togüí
15820,BOYACÁ,Tópaga
15822,BOYACÁ,Tota
15832,BOYACÁ,Tununguá
15835,BOYACÁ,Turmequé
15837,BOYACÁ,Tuta
15839,BOYACÁ,Tutazá
15842,BOYACÁ,Umbita
15861,BOYACÁ,Ventaquemada
15879,BOYACÁ,Viracachá
15897,BOYACÁ,Zetaquira
17001,CALDAS,Manizales
17013,CALDAS,Aguadas
17042,CALDAS,Anserma
17050,CALDAS,Aranzazu
17088,CALDAS,Belalcázar
17174,CALDAS,Chinchiná
17272,CALDAS,Filadelfia
17380,CALDAS,La Dorada
17388,CALDAS,La Merced
17433,CALDAS,Manzanares
17442,CALDAS,Marmato
17444,CALDAS,Marquetalia
17446,CALDAS,Marulanda
17486,CALDAS,Neira
17495,CALDAS,Norcasia
17513,CALDAS,Pácora
17524,CALDAS,Palestina
17541,CALDAS,Pensilvania
17614,CALDAS,Riosucio
17616,CALDAS,Risaralda
17653,CALDAS,Salamina
17662,CALDAS,Samaná
17665,CALDAS,San José
17777,CALDAS,Supía
17867,CALDAS,Victoria
17873,CALDAS,Villamaría
17877,CALDAS,Viterbo
18001,CAQUETÁ,Florencia
18029,CAQUETÁ,Albania
18094,CAQUETÁ,Belén de Los Andaquies
18150,CAQUETÁ,Cartagena del Chairá
18205,CAQUETÁ,Curillo
18247,CAQUETÁ,El Doncello
18256,CAQUETÁ,El Paujil
18410,CAQUETÁ,La Montañita
18460,CAQUETÁ,Milán
18479,CAQUETÁ,Morelia
18592,CAQUETÁ,Puerto Rico
18610,CAQUETÁ,San José del Fragua
18753,CAQUETÁ,San Vicente del Caguán
18756,CAQUETÁ,Solano
18785,CAQUETÁ,Solita
18860,CAQUETÁ,Valparaíso
19001,CAUCA,Popayán
19022,CAUCA,Almaguer
19050,CAUCA,Argelia
19075,CAUCA,Balboa
19100,CAUCA,Bolívar
19110,CAUCA,Buenos Aires
19130,CAUCA,Cajibío
19137,CAUCA,Caldono
19142,CAUCA,Caloto
19212,CAUCA,Corinto
19256,CAUCA,El Tambo
19290,CAUCA,Florencia
19300,CAUCA,Guachené
19318,CAUCA,Guapi
19355,CAUCA,Inzá
19364,CAUCA,Jambaló
19392,CAUCA,La Sierra
19397,CAUCA,La Vega
19418,CAUCA,López
19450,CAUCA,Mercaderes
19455,CAUCA,Miranda
19473,CAUCA,Morales
19513,CAUCA,Padilla
19517,CAUCA,Paez
19532,CAUCA,Patía
19533,CAUCA,Piamonte
19548,CAUCA,Piendamó
19573,CAUCA,Puerto Tejada
19585,CAUCA,Puracé
19622,CAUCA,Rosas
19693,CAUCA,San Sebastián
19698,CAUCA,Santander de Quilichao
19701,CAUCA,Santa Rosa
19743,CAUCA,Silvia
19760,CAUCA,Sotara
19780,CAUCA,Suárez
19785,CAUCA,Sucre
19807,CAUCA,Timbío
19809,CAUCA,Timbiquí
19821,CAUCA,Toribio
19824,CAUCA,Totoró
19845,CAUCA,Villa Rica
20001,CESAR,Valledupar
20011,CESAR,Aguachica
20013,CESAR,Agustín Codazzi
20032,CESAR,Astrea
20045,CESAR,Becerril
20060,CESAR,Bosconia
20175,CESAR,Chimichagua
20178,CESAR,Chiriguaná
20228,CESAR,Curumaní
20238,CESAR,El Copey
20250,CESAR,El Paso
20295,CESAR,Gamarra
20310,CESAR,González
20383,CESAR,La Gloria
20400,CESAR,La Jagua de Ibirico
20443,CESAR,Manaure
20517,CESAR,Pailitas
20550,CESAR,Pelaya
20570,CESAR,Pueblo Bello
20614,CESAR,Río de Oro
20621,CESAR,La Paz
20710,CESAR,San Alberto
20750,CESAR,San Diego
20770,CESAR,San Martín
20787,CESAR,Tamalameque
23001,CÓRDOBA,Montería
23068,CÓRDOBA,Ayapel
23079,CÓRDOBA,Buenavista
23090,CÓRDOBA,Canalete
23162,CÓRDOBA,Cereté
23168,CÓRDOBA,Chimá
23182,CÓRDOBA,Chinú
23189,CÓRDOBA,Ciénaga de Oro
23300,CÓRDOBA,Cotorra
23350,CÓRDOBA,La Apartada
23417,CÓRDOBA,Lorica
23419,CÓRDOBA,Los Córdobas
23464,CÓRDOBA,Momil
23466,CÓRDOBA,Montelíbano
23500,CÓRDOBA,Moñitos
23555,CÓRDOBA,Planeta Rica
23570,CÓRDOBA,Pueblo Nuevo
23574,CÓRDOBA,Puerto Escondido
23580,CÓRDOBA,Puerto Libertador
23586,CÓRDOBA,Purísima
23660,CÓRDOBA,Sahagún
23670,CÓRDOBA,San Andrés Sotavento
23672,CÓRDOBA,San Antero
23675,CÓRDOBA,San Bernardo del Viento
23678,CÓRDOBA,San Carlos
23682,CÓRDOBA,San José de Uré
23686,CÓRDOBA,San Pelayo
23807,CÓRDOBA,Tierralta
23815,CÓRDOBA,Tuchín
23855,CÓRDOBA,Valencia
25001,CUNDINAMARCA,Agua de Dios
25019,CUNDINAMARCA,Albán
25035,CUNDINAMARCA,Anapoima
25040,CUNDINAMARCA,Anolaima
25053,CUNDINAMARCA,Arbeláez
25086,CUNDINAMARCA,Beltrán
25095,CUNDINAMARCA,Bituima
25099,CUNDINAMARCA,Bojacá
25120,CUNDINAMARCA,Cabrera
25123,CUNDINAMARCA,Cachipay
25126,CUNDINAMARCA,Cajicá
25148,CUNDINAMARCA,Caparrapí
25151,CUNDINAMARCA,Caqueza
25154,CUNDINAMARCA,Carmen de Carupa
25168,CUNDINAMARCA,Chaguaní
25175,CUNDINAMARCA,Chía
25178,CUNDINAMARCA,Chipaque
25181,CUNDINAMARCA,Choachí
25183,CUNDINAMARCA,Chocontá
25200,CUNDINAMARCA,Cogua
25214,CUNDINAMARCA,Cota
25224,CUNDINAMARCA,Cucunubá
25245,CUNDINAMARCA,El Colegio
25258,CUNDINAMARCA,El Peñón
25260,CUNDINAMARCA,El Rosal
25269,CUNDINAMARCA,Facatativá
25279,CUNDINAMARCA,Fomeque
25281,CUNDINAMARCA,Fosca
25286,CUNDINAMARCA,Funza
25288,CUNDINAMARCA,Fúquene
25290,CUNDINAMARCA,Fusagasugá
25293,CUNDINAMARCA,Gachala
25295,CUNDINAMARCA,Gachancipá
25297,CUNDINAMARCA,Gachetá
25299,CUNDINAMARCA,Gama
25307,CUNDINAMARCA,Girardot
25312,CUNDINAMARCA,Granada
25317,CUNDINAMARCA,Guachetá
25320,CUNDINAMARCA,Guaduas
25322,CUNDINAMARCA,Guasca
25324,CUNDINAMARCA,Guataquí
25326,CUNDINAMARCA,Guatavita
25328,CUNDINAMARCA,Guayabal de Siquima
25335,CUNDINAMARCA,Guayabetal
25339,CUNDINAMARCA,Gutiérrez
25368,CUNDINAMARCA,Jerusalén
25372,CUNDINAMARCA,Junín
25377,CUNDINAMARCA,La Calera
25386,CUNDINAMARCA,La Mesa
25394,CUNDINAMARCA,La Palma
25398,CUNDINAMARCA,La Peña
25402,CUNDINAMARCA,La Vega
25407,CUNDINAMARCA,Lenguazaque
25426,CUNDINAMARCA,Macheta
25430,CUNDINAMARCA,Madrid
25436,CUNDINAMARCA,Manta
25438,CUNDINAMARCA,Medina
25473,CUNDINAMARCA,Mosquera
25483,CUNDINAMARCA,Nariño
25486,CUNDINAMARCA,Nemocón
25488,CUNDINAMARCA,Nilo
25489,CUNDINAMARCA,Nimaima
25491,CUNDINAMARCA,Nocaima
25506,CUNDINAMARCA,Venecia
25513,CUNDINAMARCA,Pacho
25518,CUNDINAMARCA,Paime
25524,CUNDINAMARCA,Pandi
25530,CUNDINAMARCA,Paratebueno
25535,CUNDINAMARCA,Pasca
25572,CUNDINAMARCA,Puerto Salgar
25580,CUNDINAMARCA,Pulí
25592,CUNDINAMARCA,Quebradanegra
25594,CUNDINAMARCA,Quetame
25596,CUNDINAMARCA,Quipile
25599,CUNDINAMARCA,Apulo
25612,CUNDINAMARCA,Ricaurte
25645,CUNDINAMARCA,San Antonio del Tequendama
25649,CUNDINAMARCA,San Bernardo
25653,CUNDINAMARCA,San Cayetano
25658,CUNDINAMARCA,San Francisco
25662,CUNDINAMARCA,San Juan de Río Seco
25718,CUNDINAMARCA,Sasaima
25736,CUNDINAMARCA,Sesquilé
25740,CUNDINAMARCA,Sibaté
25743,CUNDINAMARCA,Silvania
25745,CUNDINAMARCA,Simijaca
25754,CUNDINAMARCA,Soacha
25758,CUNDINAMARCA,Sopó
25769,CUNDINAMARCA,Subachoque
25772,CUNDINAMARCA,Suesca
25777,CUNDINAMARCA,Supatá
25779,CUNDINAMARCA,Susa
25781,CUNDINAMARCA,Sutatausa
25785,CUNDINAMARCA,Tabio
25793,CUNDINAMARCA,Tausa
25797,CUNDINAMARCA,Tena
25799,CUNDINAMARCA,Tenjo
25805,CUNDINAMARCA,Tibacuy
25807,CUNDINAMARCA,Tibirita
25815,CUNDINAMARCA,Tocaima
25817,CUNDINAMARCA,Tocancipá
25823,CUNDINAMARCA,Topaipí
25839,CUNDINAMARCA,Ubalá
25841,CUNDINAMARCA,Ubaque
25843,CUNDINAMARCA,Villa de San Diego de Ubate
25845,CUNDINAMARCA,Une
25851,CUNDINAMARCA,Útica
25862,CUNDINAMARCA,Vergara
25867,CUNDINAMARCA,Vianí
25871,CUNDINAMARCA,Villagómez
25873,CUNDINAMARCA,Villapinzón
25875,CUNDINAMARCA,Villeta
25878,CUNDINAMARCA,Viotá
25885,CUNDINAMARCA,Yacopí
25898,CUNDINAMARCA,Zipacón
25899,CUNDINAMARCA,Zipaquirá
27001,CHOCÓ,Quibdó
27006,CHOCÓ,Acandí
27025,CHOCÓ,Alto Baudó
27050,CHOCÓ,Atrato
27073,CHOCÓ,Bagadó
27075,CHOCÓ,Bahía Solano
27077,CHOCÓ,Bajo Baudó
27099,CHOCÓ,Bojayá
27135,CHOCÓ,El Cantón del San Pablo
27150,CHOCÓ,Carmen del Darien
27160,CHOCÓ,Cértegui
27205,CHOCÓ,Condoto
27245,CHOCÓ,El Carmen de Atrato
27250,CHOCÓ,El Litoral del San Juan
27361,CHOCÓ,Istmina
27372,CHOCÓ,Juradó
27413,CHOCÓ,Lloró
27425,CHOCÓ,Medio Atrato
27430,CHOCÓ,Medio Baudó
27450,CHOCÓ,Medio San Juan
27491,CHOCÓ,Nóvita
27495,CHOCÓ,Nuquí
27600,CHOCÓ,Río Quito
27615,CHOCÓ,Riosucio
27660,CHOCÓ,San José del Palmar
27745,CHOCÓ,Sipí
27787,CHOCÓ,Tadó
27800,CHOCÓ,Unguía
27810,CHOCÓ,Unión Panamericana
41001,HUILA,Neiva
41006,HUILA,Acevedo
41013,HUILA,Agrado
41016,HUILA,Aipe
41020,HUILA,Algeciras
41026,HUILA,Altamira
41078,HUILA,Baraya
41132,HUILA,Campoalegre
41206,HUILA,Colombia
41244,HUILA,Elías
41298,HUILA,Garzón
41306,HUILA,Gigante
41319,HUILA,Guadalupe
41349,HUILA,Hobo
41357,HUILA,Iquira
41359,HUILA,Isnos
41378,HUILA,La Argentina
41396,HUILA,La Plata
41483,HUILA,Nátaga
41503,HUILA,Oporapa
41518,HUILA,Paicol
41524,HUILA,Palermo
41530,HUILA,Palestina
41548,HUILA,Pital
41551,HUILA,Pitalito
41615,HUILA,Rivera
41660,HUILA,Saladoblanco
41668,HUILA,San Agustín
41676,HUILA,Santa María
41770,HUILA,Suaza
41791,HUILA,Tarqui
41797,HUILA,Tesalia
41799,HUILA,Tello
41801,HUILA,Teruel
41807,HUILA,Timaná
41872,HUILA,Villavieja
41885,HUILA,Yaguará
44001,GUAJIRA,Riohacha
44035,GUAJIRA,Albania
44078,GUAJIRA,Barrancas
44090,GUAJIRA,Dibulla
44098,GUAJIRA,Distracción
44110,GUAJIRA,El Molino
44279,GUAJIRA,Fonseca
44378,GUAJIRA,Hatonuevo
44420,GUAJIRA,La Jagua del Pilar
44430,GUAJIRA,Maicao
44560,GUAJIRA,Manaure
44650,GUAJIRA,San Juan del Cesar
44847,GUAJIRA,Uribia
44855,GUAJIRA,Urumita
44874,GUAJIRA,Villanueva
47001,MAGDALENA,Santa Marta
47030,MAGDALENA,Algarrobo
47053,MAGDALENA,Aracataca
47058,MAGDALENA,Ariguaní
47161,MAGDALENA,Cerro San Antonio
47170,MAGDALENA,Chivolo
47189,MAGDALENA,Ciénaga
47205,MAGDALENA,Concordia
47245,MAGDALENA,El Banco
47258,MAGDALENA,El Piñon
47268,MAGDALENA,El Retén
47288,MAGDALENA,Fundación
47318,MAGDALENA,Guamal
47460,MAGDALENA,Nueva Granada
47541,MAGDALENA,Pedraza
47545,MAGDALENA,Pijiño del Carmen
47551,MAGDALENA,Pivijay
47555,MAGDALENA,Plato
47570,MAGDALENA,Puebloviejo
47605,MAGDALENA,Remolino
47660,MAGDALENA,Sabanas de San Angel
47675,MAGDALENA,Salamina
47692,MAGDALENA,San Sebastián de Buenavista
47703,MAGDALENA,San Zenón
47707,MAGDALENA,Santa Ana
47720,MAGDALENA,Santa Bárbara de Pinto
47745,MAGDALENA,Sitionuevo
47798,MAGDALENA,Tenerife
47960,MAGDALENA,Zapayán
47980,MAGDALENA,Zona Bananera
50001,META,Villavicencio
50006,META,Acacías
50110,META,Barranca de Upía
50124,META,Cabuyaro
50150,META,Castilla la Nueva
50223,META,Cubarral
50226,META,Cumaral
50245,META,El Calvario
50251,META,El Castillo
50270,META,El Dorado
50287,META,Fuente de Oro
50313,META,Granada
50318,META,Guamal
50325,META,Mapiripán
50330,META,Mesetas
50350,META,La Macarena
50370,META,Uribe
50400,META,Lejanías
50450,META,Puerto Concordia
50568,META,Puerto Gaitán
50573,META,Puerto López
50577,META,Puerto Lleras
50590,META,Puerto Rico
50606,META,Restrepo
50680,META,San Carlos de Guaroa
50683,META,San Juan de Arama
50686,META,San Juanito
50689,META,San Martín
50711,META,Vistahermosa
52000,NARIÑO,
52001,NARIÑO,Pasto
52019,NARIÑO,Albán
52022,NARIÑO,Aldana
52036,NARIÑO,Ancuyá
52051,NARIÑO,Arboleda
52079,NARIÑO,Barbacoas
52083,NARIÑO,Belén
52110,NARIÑO,Buesaco
52203,NARIÑO,Colón
52207,NARIÑO,Consaca
52210,NARIÑO,Contadero
52215,NARIÑO,Córdoba
52224,NARIÑO,Cuaspud
52227,NARIÑO,Cumbal
52233,NARIÑO,Cumbitara
52240,NARIÑO,Chachagüí
52250,NARIÑO,El Charco
52254,NARIÑO,El Peñol
52256,NARIÑO,El Rosario
52258,NARIÑO,El Tablón de Gómez
52260,NARIÑO,El Tambo
52287,NARIÑO,Funes
52317,NARIÑO,Guachucal
52320,NARIÑO,Guaitarilla
52323,NARIÑO,Gualmatán
52352,NARIÑO,Iles
52354,NARIÑO,Imués
52356,NARIÑO,Ipiales
52378,NARIÑO,La Cruz
52381,NARIÑO,La Florida
52385,NARIÑO,La Llanada
52390,NARIÑO,La Tola
52399,NARIÑO,La Unión
52405,NARIÑO,Leiva
52411,NARIÑO,Linares
52418,NARIÑO,Los Andes
52427,NARIÑO,Magüi
52435,NARIÑO,Mallama
52473,NARIÑO,Mosquera
52480,NARIÑO,Nariño
52490,NARIÑO,Olaya Herrera
52506,NARIÑO,Ospina
52520,NARIÑO,Francisco Pizarro
52540,NARIÑO,Policarpa
52560,NARIÑO,Potosí
52565,NARIÑO,Providencia
52573,NARIÑO,Puerres
52585,NARIÑO,Pupiales
52612,NARIÑO,Ricaurte
52621,NARIÑO,Roberto Payán
52678,NARIÑO,Samaniego
52683,NARIÑO,Sandoná
52685,NARIÑO,San Bernardo
52687,NARIÑO,San Lorenzo
52693,NARIÑO,San Pablo
52694,NARIÑO,San Pedro de Cartago
52696,NARIÑO,Santa Bárbara
52699,NARIÑO,Santacruz
52720,NARIÑO,Sapuyes
52786,NARIÑO,Taminango
52788,NARIÑO,Tangua
52835,NARIÑO,San Andres de Tumaco
52838,NARIÑO,Túquerres
52885,NARIÑO,Yacuanquer
54001,NORTE DE SANTANDER,Cúcuta
54003,NORTE DE SANTANDER,Abrego
54051,NORTE DE SANTANDER,Arboledas
54099,NORTE DE SANTANDER,Bochalema
54109,NORTE DE SANTANDER,Bucarasica
54125,NORTE DE SANTANDER,Cácota
54128,NORTE DE SANTANDER,Cachirá
54172,NORTE DE SANTANDER,Chinácota
54174,NORTE DE SANTANDER,Chitagá
54206,NORTE DE SANTANDER,Convención
54223,NORTE DE SANTANDER,Cucutilla
54239,NORTE DE SANTANDER,Durania
54245,NORTE DE SANTANDER,El Carmen
54250,NORTE DE SANTANDER,El Tarra
54261,NORTE DE SANTANDER,El Zulia
54313,NORTE DE SANTANDER,Gramalote
54344,NORTE DE SANTANDER,Hacarí
54347,NORTE DE SANTANDER,Herrán
54377,NORTE DE SANTANDER,Labateca
